epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5269.5,2.79546,2.30275,2.79843,0.37101,0.30289,0.26452,0.11429,2.24563,2.3551,2.32491,0.000666,0.000666,0.000666
2,10507.1,2.23378,1.97434,2.13914,0.51429,0.2981,0.34066,0.15128,2.25711,2.07463,2.19022,0.00131068,0.00131068,0.00131068
3,15699.2,2.11194,1.85902,1.95949,0.46829,0.27726,0.29826,0.1419,2.23307,2.31635,2.16526,0.00193336,0.00193336,0.00193336
4,20893.2,2.05014,1.78402,1.8674,0.4872,0.27576,0.31413,0.15888,2.18577,2.15835,2.05075,0.001901,0.001901,0.001901
5,26091.3,2.00237,1.72834,1.80173,0.61545,0.38775,0.45764,0.24123,1.92603,1.7167,1.8015,0.001868,0.001868,0.001868
6,31300.8,1.96451,1.6861,1.75617,0.64419,0.40733,0.48827,0.26034,1.89729,1.65623,1.72414,0.001835,0.001835,0.001835
7,36495.5,1.94069,1.65307,1.72001,0.63244,0.38862,0.46519,0.24032,1.99581,1.81576,1.78939,0.001802,0.001802,0.001802
8,41691.3,1.9126,1.60843,1.68902,0.64849,0.4144,0.49262,0.26489,1.86885,1.64699,1.67338,0.001769,0.001769,0.001769
9,46887.4,1.90183,1.59769,1.66679,0.65773,0.42631,0.50978,0.27516,1.84674,1.55193,1.67384,0.001736,0.001736,0.001736
10,52094.6,1.89306,1.57818,1.6538,0.70037,0.4466,0.53436,0.28826,1.83061,1.50842,1.64202,0.001703,0.001703,0.001703
11,57288.6,1.87516,1.54897,1.62821,0.6917,0.44419,0.53282,0.28733,1.82268,1.51135,1.63608,0.00167,0.00167,0.00167
12,62485,1.86254,1.5335,1.61569,0.70488,0.4607,0.55503,0.30837,1.76531,1.42442,1.56491,0.001637,0.001637,0.001637
13,67673.9,1.85127,1.51837,1.60221,0.70166,0.42668,0.52076,0.28904,1.79671,1.55124,1.59541,0.001604,0.001604,0.001604
14,73015,1.83912,1.49736,1.59064,0.69124,0.42898,0.51639,0.28548,1.81394,1.56936,1.60938,0.001571,0.001571,0.001571
15,78626.6,1.8427,1.49746,1.58289,0.6963,0.43853,0.53672,0.29398,1.79367,1.46455,1.55765,0.001538,0.001538,0.001538
16,83850.3,1.83176,1.48589,1.57794,0.71921,0.46763,0.56787,0.31787,1.73336,1.38748,1.556,0.001505,0.001505,0.001505
17,89216.9,1.81764,1.46468,1.56526,0.75162,0.47063,0.57833,0.32519,1.73576,1.39179,1.56332,0.001472,0.001472,0.001472
18,94752.3,1.81096,1.45704,1.55702,0.72623,0.48148,0.58128,0.3242,1.74286,1.35945,1.55192,0.001439,0.001439,0.001439
19,100096,1.80997,1.45786,1.55315,0.754,0.48386,0.5872,0.34012,1.67299,1.32255,1.50259,0.001406,0.001406,0.001406
20,105302,1.80179,1.44819,1.54491,0.736,0.47223,0.58025,0.32551,1.72711,1.35648,1.53046,0.001373,0.001373,0.001373
21,110513,1.79483,1.44001,1.54152,0.74473,0.48777,0.59186,0.33514,1.69399,1.32659,1.50978,0.00134,0.00134,0.00134
22,115729,1.78625,1.42639,1.5333,0.75479,0.50302,0.61226,0.35102,1.67037,1.28998,1.4809,0.001307,0.001307,0.001307
23,120938,1.78499,1.42609,1.52941,0.75574,0.50071,0.6096,0.35094,1.65957,1.26352,1.4671,0.001274,0.001274,0.001274
24,126149,1.78976,1.42567,1.52951,0.75997,0.5074,0.61888,0.35801,1.64897,1.25839,1.46693,0.001241,0.001241,0.001241
25,131358,1.77983,1.41332,1.52277,0.75371,0.50481,0.61249,0.35178,1.65682,1.25869,1.46556,0.001208,0.001208,0.001208
26,136577,1.7784,1.40752,1.51633,0.7632,0.5111,0.62377,0.35988,1.64378,1.24791,1.45917,0.001175,0.001175,0.001175
27,141788,1.77294,1.39682,1.50941,0.76125,0.50567,0.61581,0.35923,1.64237,1.26474,1.47951,0.001142,0.001142,0.001142
28,147000,1.75971,1.38929,1.50444,0.76591,0.51684,0.628,0.3675,1.62305,1.22592,1.44956,0.001109,0.001109,0.001109
29,152207,1.76157,1.38532,1.50065,0.76072,0.50038,0.61313,0.35553,1.64898,1.26366,1.47958,0.001076,0.001076,0.001076
30,157702,1.76044,1.38284,1.49841,0.76481,0.51752,0.62877,0.36415,1.63201,1.22142,1.44915,0.001043,0.001043,0.001043
31,163294,1.75455,1.38153,1.49467,0.76296,0.51493,0.6294,0.3677,1.62508,1.22832,1.45086,0.00101,0.00101,0.00101
32,168755,1.75829,1.37893,1.49397,0.77684,0.51947,0.63357,0.36975,1.62268,1.21002,1.44091,0.000977,0.000977,0.000977
33,174128,1.75062,1.37067,1.48979,0.76945,0.52345,0.63447,0.36978,1.62235,1.20908,1.44221,0.000944,0.000944,0.000944
34,179766,1.74024,1.36082,1.48036,0.78047,0.51749,0.63247,0.36686,1.63693,1.21204,1.4487,0.000911,0.000911,0.000911
35,185393,1.74328,1.36209,1.48225,0.77179,0.52484,0.63887,0.37318,1.61521,1.20067,1.43808,0.000878,0.000878,0.000878
36,190640,1.7355,1.35659,1.47728,0.77528,0.52483,0.63901,0.37353,1.61371,1.20548,1.43097,0.000845,0.000845,0.000845
37,195888,1.73621,1.35177,1.47502,0.77831,0.5263,0.6417,0.37765,1.60506,1.18649,1.42278,0.000812,0.000812,0.000812
38,201150,1.73387,1.34955,1.47404,0.77084,0.52846,0.64122,0.37751,1.59839,1.19038,1.42846,0.000779,0.000779,0.000779
39,206398,1.73334,1.35067,1.47222,0.77787,0.53322,0.64474,0.38118,1.59511,1.18238,1.42021,0.000746,0.000746,0.000746
40,211645,1.72146,1.33667,1.4631,0.77074,0.53292,0.64438,0.38206,1.58992,1.17885,1.41823,0.000713,0.000713,0.000713
41,216892,1.72795,1.3473,1.46636,0.77788,0.5348,0.64718,0.38014,1.59877,1.17897,1.41716,0.00068,0.00068,0.00068
42,222148,1.7201,1.33504,1.46189,0.77924,0.5323,0.64865,0.38293,1.58942,1.17019,1.41366,0.000647,0.000647,0.000647
43,227397,1.7223,1.33606,1.46147,0.78574,0.52838,0.64669,0.38288,1.58867,1.1756,1.41193,0.000614,0.000614,0.000614
44,232645,1.7208,1.32696,1.45506,0.78047,0.53391,0.64997,0.38455,1.59066,1.16785,1.41092,0.000581,0.000581,0.000581
45,237893,1.7205,1.3273,1.45692,0.77586,0.53607,0.64966,0.38517,1.58315,1.16653,1.40931,0.000548,0.000548,0.000548
46,243561,1.71594,1.3248,1.45351,0.7851,0.52824,0.64743,0.38369,1.58497,1.16848,1.40593,0.000515,0.000515,0.000515
47,249167,1.71549,1.32429,1.45061,0.77954,0.5353,0.65108,0.3866,1.5797,1.16652,1.40606,0.000482,0.000482,0.000482
48,254715,1.70725,1.31408,1.44661,0.78013,0.53585,0.65295,0.38574,1.58449,1.161,1.40549,0.000449,0.000449,0.000449
49,260177,1.71023,1.31705,1.44828,0.78228,0.5372,0.65406,0.38578,1.58638,1.15816,1.40635,0.000416,0.000416,0.000416
50,265756,1.70516,1.31801,1.44513,0.77904,0.54005,0.654,0.38545,1.58471,1.1565,1.40279,0.000383,0.000383,0.000383
