epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6333.02,2.68507,2.91337,2.92995,0.37875,0.29989,0.27261,0.10355,2.3587,2.71211,2.57836,0.000666583,0.000666583,0.000666583
2,12752.5,2.28136,2.56655,2.51606,0.463,0.30629,0.31945,0.14123,2.15923,2.32819,2.39956,0.00130685,0.00130685,0.00130685
3,19232.8,2.18888,2.44041,2.41339,0.51952,0.34325,0.37597,0.17372,2.08398,2.13423,2.28959,0.00192072,0.00192072,0.00192072
4,25493.8,2.11524,2.34933,2.33313,0.51085,0.34382,0.37183,0.17576,2.03626,2.22978,2.25888,0.0018812,0.0018812,0.0018812
5,31661.1,2.07812,2.297,2.28124,0.55803,0.35232,0.39516,0.18912,2.01539,2.11018,2.21635,0.0018416,0.0018416,0.0018416
6,37839.1,2.05012,2.22559,2.24417,0.57456,0.38482,0.4303,0.21294,1.9749,1.97358,2.14231,0.001802,0.001802,0.001802
7,44003.4,2.02213,2.20452,2.20882,0.56825,0.38775,0.43349,0.21235,1.98207,1.95556,2.1345,0.0017624,0.0017624,0.0017624
8,50169.2,2.00873,2.17301,2.18775,0.59292,0.3818,0.4415,0.22326,1.92089,1.912,2.08285,0.0017228,0.0017228,0.0017228
9,56333.4,1.98079,2.09347,2.15384,0.62279,0.40153,0.46948,0.23822,1.90155,1.89685,2.07368,0.0016832,0.0016832,0.0016832
10,62509.5,1.958,2.04543,2.12958,0.64533,0.38676,0.46493,0.23704,1.90977,1.98558,2.0728,0.0016436,0.0016436,0.0016436
11,68676,1.96232,2.0675,2.12252,0.63581,0.40826,0.48305,0.24712,1.89649,1.81389,2.02716,0.001604,0.001604,0.001604
12,74840.4,1.94106,2.00893,2.10289,0.65992,0.41889,0.49439,0.25604,1.85976,1.76015,2.00986,0.0015644,0.0015644,0.0015644
13,81483.6,1.93267,1.9744,2.08613,0.66029,0.39641,0.47559,0.24976,1.85862,1.84835,2.00185,0.0015248,0.0015248,0.0015248
14,87984,1.92337,1.97104,2.07458,0.65435,0.40964,0.49529,0.25896,1.8645,1.79047,2.0059,0.0014852,0.0014852,0.0014852
15,94218.4,1.91657,1.97471,2.05997,0.68067,0.42562,0.51262,0.2687,1.83353,1.70951,1.96502,0.0014456,0.0014456,0.0014456
16,100726,1.8992,1.90284,2.0435,0.67857,0.42974,0.51093,0.26766,1.84112,1.71311,1.97504,0.001406,0.001406,0.001406
